group,tissue,findings,results,count,percentage
4_Lungalveolar macrophages,4_Lung,alveolar macrophages,3_presence,7,26.9%
4_Lungalveolar macrophages,4_Lung,alveolar macrophages,2_absence,19,73.1%
4_Lungalveolar macrophages,4_Lung,alveolar macrophages,1_unperformed,0,0.0%
3_Livervasocongestion/congestion,3_Liver,vasocongestion/congestion,3_presence,14,53.8%
3_Livervasocongestion/congestion,3_Liver,vasocongestion/congestion,2_absence,10,38.5%
3_Livervasocongestion/congestion,3_Liver,vasocongestion/congestion,1_unperformed,2,7.7%
3_Livermononuclear cell infiltration,3_Liver,mononuclear cell infiltration,3_presence,13,50.0%
3_Livermononuclear cell infiltration,3_Liver,mononuclear cell infiltration,2_absence,11,42.3%
3_Livermononuclear cell infiltration,3_Liver,mononuclear cell infiltration,1_unperformed,2,7.7%
3_Liverhepatocyte necrosis,3_Liver,hepatocyte necrosis,3_presence,6,23.1%
3_Liverhepatocyte necrosis,3_Liver,hepatocyte necrosis,2_absence,18,69.2%
3_Liverhepatocyte necrosis,3_Liver,hepatocyte necrosis,1_unperformed,2,7.7%
2_Spleenvasocongestion/congestion,2_Spleen,vasocongestion/congestion,3_presence,25,96.2%
2_Spleenvasocongestion/congestion,2_Spleen,vasocongestion/congestion,2_absence,1,3.8%
2_Spleenvasocongestion/congestion,2_Spleen,vasocongestion/congestion,1_unperformed,0,0.0%
2_Spleenhemorrhage,2_Spleen,hemorrhage,3_presence,13,50.0%
2_Spleenhemorrhage,2_Spleen,hemorrhage,2_absence,13,50.0%
2_Spleenhemorrhage,2_Spleen,hemorrhage,1_unperformed,0,0.0%
2_Spleennarrowing of Malpighian corpuscle,2_Spleen,narrowing of Malpighian corpuscle,3_presence,6,23.1%
2_Spleennarrowing of Malpighian corpuscle,2_Spleen,narrowing of Malpighian corpuscle,2_absence,20,76.9%
2_Spleennarrowing of Malpighian corpuscle,2_Spleen,narrowing of Malpighian corpuscle,1_unperformed,0,0.0%
1_Kidneyvasocongestion/congestion,1_Kidney,vasocongestion/congestion,3_presence,18,69.2%
1_Kidneyvasocongestion/congestion,1_Kidney,vasocongestion/congestion,2_absence,5,19.2%
1_Kidneyvasocongestion/congestion,1_Kidney,vasocongestion/congestion,1_unperformed,3,11.5%
1_Kidneyedema,1_Kidney,edema,3_presence,6,23.1%
1_Kidneyedema,1_Kidney,edema,2_absence,17,65.4%
1_Kidneyedema,1_Kidney,edema,1_unperformed,3,11.5%
1_Kidneymononuclear cell infiltration,1_Kidney,mononuclear cell infiltration,3_presence,5,19.2%
1_Kidneymononuclear cell infiltration,1_Kidney,mononuclear cell infiltration,2_absence,18,69.2%
1_Kidneymononuclear cell infiltration,1_Kidney,mononuclear cell infiltration,1_unperformed,3,11.5%
1_Kidneyglomerular fibrosis,1_Kidney,glomerular fibrosis,3_presence,8,30.8%
1_Kidneyglomerular fibrosis,1_Kidney,glomerular fibrosis,2_absence,15,57.7%
1_Kidneyglomerular fibrosis,1_Kidney,glomerular fibrosis,1_unperformed,3,11.5%
1_Kidneycloudy swelling of the real tubules,1_Kidney,cloudy swelling of the real tubules,3_presence,6,23.1%
1_Kidneycloudy swelling of the real tubules,1_Kidney,cloudy swelling of the real tubules,2_absence,17,65.4%
1_Kidneycloudy swelling of the real tubules,1_Kidney,cloudy swelling of the real tubules,1_unperformed,3,11.5%
1_Kidneychronic pyelonephritis,1_Kidney,chronic pyelonephritis,3_presence,6,23.1%
1_Kidneychronic pyelonephritis,1_Kidney,chronic pyelonephritis,2_absence,17,65.4%
1_Kidneychronic pyelonephritis,1_Kidney,chronic pyelonephritis,1_unperformed,3,11.5%
